每半小时时间,城市,区县,订单量,是否节假日,天气,GDP,常驻人口
2019/10/17 8:00,南京市,建邺区,3520,0,Partly cloudy,500,30
2019/10/17 8:00,南京市,栖霞区,8098,0,Partly cloudy,1000,80
2019/10/17 8:00,南京市,江宁区,20991,0,Partly cloudy,2100,130
2019/10/17 8:00,南京市,浦口区,14765,0,Partly cloudy,400,40
2019/10/17 8:00,南京市,溧水区,6888,0,Partly cloudy,400,50
2019/10/17 8:00,南京市,玄武区,3807,0,Partly cloudy,1200,60
2019/10/17 8:00,南京市,秦淮区,4887,0,Partly cloudy,800,50
2019/10/17 8:00,南京市,雨花台区,6063,0,Partly cloudy,500,40
2019/10/17 8:00,南京市,高淳区,20498,0,Partly cloudy,600,43
2019/10/17 8:00,南京市,鼓楼区,2803,0,Partly cloudy,1600,90
2019/10/17 8:30,南京市,六合区,13661,0,Partly cloudy,500,60
2019/10/17 8:30,南京市,建邺区,4257,0,Partly cloudy,500,30
2019/10/17 8:30,南京市,栖霞区,8328,0,Partly cloudy,1000,80
2019/10/17 8:30,南京市,江宁区,21991,0,Partly cloudy,2100,130
2019/10/17 8:30,南京市,浦口区,16357,0,Partly cloudy,400,40
2019/10/17 8:30,南京市,溧水区,7728,0,Partly cloudy,400,50
2019/10/17 8:30,南京市,玄武区,3620,0,Partly cloudy,1200,60
2019/10/17 8:30,南京市,秦淮区,6305,0,Partly cloudy,800,50
2019/10/17 8:30,南京市,雨花台区,7909,0,Partly cloudy,500,40
2019/10/17 8:30,南京市,高淳区,18436,0,Partly cloudy,600,43
2019/10/17 8:30,南京市,鼓楼区,3714,0,Partly cloudy,1600,90
2019/10/17 9:00,南京市,六合区,12282,0,Partly cloudy,500,60
2019/10/17 9:00,南京市,建邺区,6864,0,Partly cloudy,500,30
2019/10/17 9:00,南京市,栖霞区,8592,0,Partly cloudy,1000,80
2019/10/17 9:00,南京市,江宁区,22075,0,Partly cloudy,2100,130
2019/10/17 9:00,南京市,浦口区,15196,0,Partly cloudy,400,40
2019/10/17 9:00,南京市,溧水区,9016,0,Partly cloudy,400,50
2019/10/17 9:00,南京市,玄武区,3675,0,Partly cloudy,1200,60
2019/10/17 9:00,南京市,秦淮区,8481,0,Partly cloudy,800,50
2019/10/17 9:00,南京市,雨花台区,9000,0,Partly cloudy,500,40
2019/10/17 9:00,南京市,高淳区,18034,0,Partly cloudy,600,43
2019/10/17 9:00,南京市,鼓楼区,4537,0,Partly cloudy,1600,90
2019/10/17 9:30,南京市,六合区,11113,0,Partly cloudy,500,60
2019/10/17 9:30,南京市,建邺区,5756,0,Partly cloudy,500,30
2019/10/17 9:30,南京市,栖霞区,8584,0,Partly cloudy,1000,80
2019/10/17 9:30,南京市,江宁区,22932,0,Partly cloudy,2100,130
2019/10/17 9:30,南京市,浦口区,15850,0,Partly cloudy,400,40
2019/10/17 9:30,南京市,溧水区,7737,0,Partly cloudy,400,50
2019/10/17 9:30,南京市,玄武区,3176,0,Partly cloudy,1200,60
2019/10/17 9:30,南京市,秦淮区,7979,0,Partly cloudy,800,50
2019/10/17 9:30,南京市,雨花台区,8377,0,Partly cloudy,500,40
2019/10/17 9:30,南京市,高淳区,17085,0,Partly cloudy,600,43
2019/10/17 9:30,南京市,鼓楼区,4363,0,Partly cloudy,1600,90
2019/10/17 10:00,南京市,六合区,9409,0,Partly cloudy,500,60
2019/10/17 10:00,南京市,建邺区,5336,0,Partly cloudy,500,30
2019/10/17 10:00,南京市,栖霞区,7434,0,Partly cloudy,1000,80
2019/10/17 10:00,南京市,江宁区,21304,0,Partly cloudy,2100,130
2019/10/17 10:00,南京市,浦口区,15996,0,Partly cloudy,400,40
2019/10/17 10:00,南京市,溧水区,6512,0,Partly cloudy,400,50
2019/10/17 10:00,南京市,玄武区,2905,0,Partly cloudy,1200,60
2019/10/17 10:00,南京市,秦淮区,7259,0,Partly cloudy,800,50
2019/10/17 10:00,南京市,雨花台区,7988,0,Partly cloudy,500,40
2019/10/17 10:00,南京市,高淳区,16300,0,Partly cloudy,600,43
2019/10/17 10:00,南京市,鼓楼区,4495,0,Partly cloudy,1600,90
2019/10/17 10:30,南京市,六合区,10831,0,Partly cloudy,500,60
2019/10/17 10:30,南京市,建邺区,4994,0,Partly cloudy,500,30
2019/10/17 10:30,南京市,栖霞区,7530,0,Partly cloudy,1000,80
2019/10/17 10:30,南京市,江宁区,20477,0,Partly cloudy,2100,130
2019/10/17 10:30,南京市,浦口区,16074,0,Partly cloudy,400,40
2019/10/17 10:30,南京市,溧水区,6148,0,Partly cloudy,400,50
2019/10/17 10:30,南京市,玄武区,3056,0,Partly cloudy,1200,60
2019/10/17 10:30,南京市,秦淮区,8215,0,Partly cloudy,800,50
2019/10/17 10:30,南京市,雨花台区,7450,0,Partly cloudy,500,40
2019/10/17 10:30,南京市,高淳区,15219,0,Partly cloudy,600,43
2019/10/17 10:30,南京市,鼓楼区,4597,0,Partly cloudy,1600,90
2019/10/17 11:00,南京市,六合区,10116,0,Clear,500,60
2019/10/17 11:00,南京市,建邺区,4038,0,Clear,500,30
2019/10/17 11:00,南京市,栖霞区,7224,0,Clear,1000,80
2019/10/17 11:00,南京市,江宁区,20159,0,Clear,2100,130
2019/10/17 11:00,南京市,浦口区,15997,0,Clear,400,40
2019/10/17 11:00,南京市,溧水区,7661,0,Clear,400,50
2019/10/17 11:00,南京市,玄武区,2853,0,Clear,1200,60
2019/10/17 11:00,南京市,秦淮区,6833,0,Clear,800,50
2019/10/17 11:00,南京市,雨花台区,6509,0,Clear,500,40
2019/10/17 11:00,南京市,高淳区,15035,0,Clear,600,43
2019/10/17 11:00,南京市,鼓楼区,4560,0,Clear,1600,90
2019/10/17 11:30,南京市,六合区,11101,0,Clear,500,60
2019/10/17 11:30,南京市,建邺区,5409,0,Clear,500,30
2019/10/17 11:30,南京市,栖霞区,6705,0,Clear,1000,80
2019/10/17 11:30,南京市,江宁区,18700,0,Clear,2100,130
2019/10/17 11:30,南京市,浦口区,14511,0,Clear,400,40
2019/10/17 11:30,南京市,溧水区,5305,0,Clear,400,50
2019/10/17 11:30,南京市,玄武区,3048,0,Clear,1200,60
2019/10/17 11:30,南京市,秦淮区,6034,0,Clear,800,50
2019/10/17 11:30,南京市,雨花台区,6315,0,Clear,500,40
2019/10/17 11:30,南京市,高淳区,13779,0,Clear,600,43
2019/10/17 11:30,南京市,鼓楼区,3985,0,Clear,1600,90
2019/10/17 12:00,南京市,六合区,11324,0,Clear,500,60
2019/10/17 12:00,南京市,建邺区,8229,0,Clear,500,30
2019/10/17 12:00,南京市,栖霞区,6958,0,Clear,1000,80
2019/10/17 12:00,南京市,江宁区,19127,0,Clear,2100,130
2019/10/17 12:00,南京市,浦口区,14022,0,Clear,400,40
2019/10/17 12:00,南京市,溧水区,6487,0,Clear,400,50
2019/10/17 12:00,南京市,玄武区,2419,0,Clear,1200,60
2019/10/17 12:00,南京市,秦淮区,7160,0,Clear,800,50
2019/10/17 12:00,南京市,雨花台区,8416,0,Clear,500,40
2019/10/17 12:00,南京市,高淳区,14230,0,Clear,600,43
